run_id	dataset_identifier	program_id	program_role	total_registered_genes	successfully_mapped_genes	missing_gene_count	missing_genes	coverage_proportion	frozen_full_program_coverage_requirement	full_program_coverage_status	state_specific_nonoverlap_masks_passing	state_specific_nonoverlap_masks_total	minimum_nonoverlap_mask_coverage_proportion	failed_nonoverlap_mask_state_ids	dataset_specific_availability	gene_replacement_or_reweighting	program_score_calculated
C1R_P3B2_REEXEC_20260914	SCP259	GP_IBD_GCST004131_V1	PRIMARY	353	307	46	ZPBP;CAMK2A;CACNA1S;LHX3;IL12B;IL1RL2;IL1RL1;SLC34A1;CRB1;ZNF365;UCN2;CCDC116;BSN;IL3;HORMAD2;SH2D4B;ZPBP2;SLC36A3;SLC36A2;NPIPB9;IL27;C1orf141;BTNL2;ZBTB12;LY6G6F;MCCD1;PSORS1C2;C6orf15;LRRC3C;GRID2IP;C4B;SAPCD1;CYP21A2;NPIPB7;IRGM;TNFRSF6B;AL645922.1;LY6G6D;C4A;ATP6V1G2-DDX39B;MSH5-SAPCD1;NPIPB8;LY6G6E;SMIM3;RTEL1;DKFZP434A062	0.869688385269	>=max(3,ceiling(0.80*353))=283	PASS	7	7	0.869688385269	NA_NONE	LIMITED	NONE	NO
C1R_P3B2_REEXEC_20260914	SCP259	GP_CD_GCST004132_V1	EXPLORATORY	242	214	28	ZPBP;CACNA1S;LHX3;IL12B;IL1RL2;IL1RL1;CRB1;ZNF365;UCN2;CCDC116;BSN;IL3;ZPBP2;SLC36A3;SLC36A2;FUT11;NPIPB9;IL27;C1orf141;LRRC3C;AC022400.2;NPIPB7;IRGM;TNFRSF6B;NPIPB8;SMIM3;RTEL1;DKFZP434A062	0.884297520661	>=max(3,ceiling(0.80*242))=194	PASS	7	7	0.884297520661	NA_NONE	LIMITED	NONE	NO
C1R_P3B2_REEXEC_20260914	SCP259	GP_UC_GCST004133_V1	EXPLORATORY	224	192	32	CAMK2A;CACNA1S;LHX3;IL12B;SLC34A1;ZNF365;TTLL8;UCN2;BSN;AMZ1;ZPBP2;IL17REL;C1orf141;BTNL2;ZBTB12;LY6G6F;MCCD1;PSORS1C2;C6orf15;LRRC3C;C4B;SAPCD1;CYP21A2;TNFRSF6B;AL645922.1;LY6G6D;C4A;ATP6V1G2-DDX39B;MSH5-SAPCD1;LY6G6E;RTEL1;DKFZP434A062	0.857142857143	>=max(3,ceiling(0.80*224))=180	PASS	7	7	0.857142857143	NA_NONE	LIMITED	NONE	NO
C1R_P3B2_REEXEC_20260914	SCP1884	GP_IBD_GCST004131_V1	PRIMARY	353	347	6	IL1RL2;IL1RL1;LRRC3C;TNFRSF6B;AL645922.1;DKFZP434A062	0.983002832861	>=max(3,ceiling(0.80*353))=283	PASS	7	7	0.983002832861	NA_NONE	LIMITED	NONE	NO
C1R_P3B2_REEXEC_20260914	SCP1884	GP_CD_GCST004132_V1	EXPLORATORY	242	235	7	IL1RL2;IL1RL1;FUT11;LRRC3C;AC022400.2;TNFRSF6B;DKFZP434A062	0.971074380165	>=max(3,ceiling(0.80*242))=194	PASS	7	7	0.971074380165	NA_NONE	LIMITED	NONE	NO
C1R_P3B2_REEXEC_20260914	SCP1884	GP_UC_GCST004133_V1	EXPLORATORY	224	220	4	LRRC3C;TNFRSF6B;AL645922.1;DKFZP434A062	0.982142857143	>=max(3,ceiling(0.80*224))=180	PASS	7	7	0.982142857143	NA_NONE	LIMITED	NONE	NO
