test_id	arm	program_id	state_id	family	role	status	failure_reason	n_complete_donors	beta	hc3_se	ci95_lower	ci95_upper	wald_z	raw_p	bh_adjusted_p	passes_family_bh_0_05	direction	multiplicity_note
T_M01_GP_IBD_GCST004131_V1_SP01	M01	GP_IBD_GCST004131_V1	SP01	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	0.48992124384949348	0.33343426114833813	-0.16359789921297224	1.1434403869119592	1.4693188461264257	0.14174632743441409	0.28349265486882819	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY
T_M02_GP_IBD_GCST004131_V1_SP01	M02	GP_IBD_GCST004131_V1	SP01	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	0.53878379360697926	0.70294809329035635	-0.83896915224322122	1.9165367394571797	0.76646312686480511	0.44340078382695514	0.50674375294509155	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY
T_M01_GP_IBD_GCST004131_V1_SP02	M01	GP_IBD_GCST004131_V1	SP02	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.77581543362900307	0.21921547236482819	-1.205469864318002	-0.34616100294000429	-3.5390541792499772	0.00040156342648980741	0.0016062537059592296	YES	NEGATIVE	PRIMARY_COMPLETE_FAMILY
T_M02_GP_IBD_GCST004131_V1_SP02	M02	GP_IBD_GCST004131_V1	SP02	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	-0.98770436525753424	0.13633375855370905	-1.2549136218997834	-0.72049510861528498	-7.2447526990787496	4.3322895781538111e-13	3.4658316625230489e-12	YES	NEGATIVE	PRIMARY_COMPLETE_FAMILY
T_M01_GP_IBD_GCST004131_V1_SP03	M01	GP_IBD_GCST004131_V1	SP03	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.39779199630218448	0.38573046974049935	-1.1538098247332804	0.3582258321289114	-1.031269312403035	0.30241454488830133	0.48386327182128214	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY
T_M02_GP_IBD_GCST004131_V1_SP03	M02	GP_IBD_GCST004131_V1	SP03	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	0.58415244315316417	0.68937346942286926	-0.76699472881308384	1.9352996151194122	0.84736716607647489	0.39679049974952152	0.50674375294509155	NO	POSITIVE	PRIMARY_COMPLETE_FAMILY
T_M01_GP_IBD_GCST004131_V1_SP04	M01	GP_IBD_GCST004131_V1	SP04	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	14	-0.73127718066162639	0.34515243965212761	-1.4077635315559309	-0.054790829767321858	-2.1187078422469399	0.03411516518084938	0.090973773815598347	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY
T_M02_GP_IBD_GCST004131_V1_SP04	M02	GP_IBD_GCST004131_V1	SP04	PRIMARY_8	PRIMARY	ESTIMABLE	NA_NONE	5	-0.39001792487707632	0.72857024919090529	-1.8179893734986232	1.0379535237444706	-0.5353195869721562	0.59242888437970198	0.59242888437970198	NO	NEGATIVE	PRIMARY_COMPLETE_FAMILY
